,Year,Value,Month
47,1927,-0.22,4
48,1928,-0.24,4
49,1929,-0.3,4
50,1930,-0.2,4
51,1931,-0.17,4
52,1932,-0.04,4
53,1933,-0.21,4
54,1934,-0.23,4
55,1935,-0.26,4
56,1936,-0.18,4
57,1937,-0.13,4
58,1938,0.04,4
59,1939,-0.13,4
60,1940,0.13,4
61,1941,0.22,4
62,1942,0.19,4
63,1943,0.17,4
64,1944,0.27,4
65,1945,0.28,4
66,1946,0.18,4
67,1947,0.01,4
68,1948,-0.06,4
69,1949,0.01,4
70,1950,-0.17,4
71,1951,-0.09,4
72,1952,0.06,4
73,1953,0.18,4
74,1954,-0.18,4
75,1955,-0.24,4
76,1956,-0.29,4
77,1957,-0.02,4
78,1958,0.11,4
79,1959,0.12,4
80,1960,-0.1,4
81,1961,0.13,4
82,1962,0.08,4
83,1963,-0.0,4
84,1964,-0.18,4
85,1965,-0.19,4
86,1966,-0.09,4
87,1967,0.01,4
88,1968,-0.07,4
89,1969,0.19,4
90,1970,0.13,4
91,1971,-0.13,4
92,1972,0.04,4
93,1973,0.25,4
94,1974,-0.04,4
95,1975,0.08,4
96,1976,-0.02,4
97,1977,0.29,4
98,1978,0.13,4
99,1979,0.11,4
100,1980,0.31,4
101,1981,0.36,4
102,1982,0.21,4
103,1983,0.3,4
104,1984,0.15,4
105,1985,0.15,4
106,1986,0.27,4
107,1987,0.31,4
108,1988,0.45,4
109,1989,0.29,4
110,1990,0.49,4
111,1991,0.52,4
112,1992,0.3,4
113,1993,0.32,4
114,1994,0.36,4
115,1995,0.42,4
116,1996,0.28,4
117,1997,0.46,4
118,1998,0.74,4
119,1999,0.46,4
120,2000,0.63,4
121,2001,0.57,4
122,2002,0.58,4
123,2003,0.56,4
124,2004,0.6,4
125,2005,0.74,4
126,2006,0.52,4
127,2007,0.74,4
128,2008,0.49,4
129,2009,0.66,4
130,2010,0.83,4
131,2011,0.65,4
132,2012,0.73,4
133,2013,0.57,4
134,2014,0.81,4
135,2015,0.78,4
0,1880,-0.09,5
1,1881,0.01,5
2,1882,-0.16,5
3,1883,-0.15,5
4,1884,-0.14,5
5,1885,-0.29,5
6,1886,-0.17,5
7,1887,-0.25,5
8,1888,-0.17,5
9,1889,-0.03,5
10,1890,-0.39,5
11,1891,-0.14,5
12,1892,-0.3,5
13,1893,-0.33,5
14,1894,-0.3,5
15,1895,-0.21,5
16,1896,-0.09,5
17,1897,-0.02,5
18,1898,-0.3,5
19,1899,-0.12,5
20,1900,-0.04,5
21,1901,-0.13,5
22,1902,-0.27,5
23,1903,-0.39,5
24,1904,-0.43,5
25,1905,-0.29,5
26,1906,-0.21,5
27,1907,-0.47,5
28,1908,-0.4,5
29,1909,-0.46,5
30,1910,-0.31,5
31,1911,-0.48,5
32,1912,-0.23,5
33,1913,-0.4,5
34,1914,-0.17,5
35,1915,-0.07,5
36,1916,-0.22,5
37,1917,-0.45,5
38,1918,-0.28,5
39,1919,-0.18,5
40,1920,-0.17,5
41,1921,-0.19,5
42,1922,-0.27,5
43,1923,-0.25,5
44,1924,-0.19,5
45,1925,-0.22,5
46,1926,-0.13,5
47,1927,-0.22,5
48,1928,-0.18,5
49,1929,-0.29,5
50,1930,-0.2,5
51,1931,-0.16,5
52,1932,-0.17,5
53,1933,-0.21,5
54,1934,-0.05,5
55,1935,-0.21,5
56,1936,-0.11,5
57,1937,-0.02,5
58,1938,-0.02,5
59,1939,-0.04,5
60,1940,0.05,5
61,1941,0.25,5
62,1942,0.16,5
63,1943,0.13,5
64,1944,0.26,5
65,1945,0.17,5
66,1946,-0.03,5
67,1947,-0.02,5
