sender	recipient	total
023969	023969	6.5
008539	005708	6.5
005777	037204	6.5
002912	028069	6.5
004139	026668	6.5
026752	014973	6.5
032386	035513	6.5
009957	028369	6.47619047619
024801	031566	6.46581196581
023811	026222	6.44444444444
035870	023834	6.41666666667
023129	023620	6.37424242424
023808	002002	6.33333333333
031997	032386	6.33333333333
004654	034621	6.33333333333
036758	023907	6.33333333333
020380	013493	6.33333333333
024694	007748	6.33333333333
024125	015632	6.33333333333
008009	017609	6.33333333333
025801	005110	6.33333333333
020380	011864	6.28333333333
008539	015569	6.27777777778
035480	007048	6.25
020956	036659	6.25
002489	023647	6.25
027687	022069	6.25
016856	001754	6.25
016594	022912	6.2
018609	018609	6.2
005071	034430	6.2
003887	009268	6.18333333333
003887	029367	6.18333333333
003887	034633	6.18333333333
024804	029193	6.16666666667
002494	007253	6.16666666667
031143	031179	6.16666666667
036095	036095	6.16666666667
015758	035325	6.16025641026
008308	021210	6.11666666667
037107	022444	6.11363636364
011687	024204	6.11111111111
023620	023620	6.08333333333
037996	022444	6.08333333333
036280	013408	6.08333333333
036280	036280	6.08333333333
036280	039128	6.08333333333
037996	025024	6.08333333333
031977	013180	6.07692307692
030902	014827	6.03333333333
029026	029026	6.03333333333
015532	022245	6.01785714286
029098	025551	6.01349206349
024914	038077	6.00833333333
029900	030099	6.0
005258	018247	6.0
028977	028977	6.0
014429	037628	6.0
037320	026182	6.0
007385	001056	6.0
028943	005583	6.0
038507	011569	6.0
022622	029413	6.0
015322	018742	6.0
013858	027955	6.0
027470	028602	6.0
005155	004694	6.0
007224	039104	6.0
027722	023209	6.0
029702	029636	6.0
011119	033059	6.0
037598	016349	6.0
010860	006433	6.0
029214	022371	6.0
022544	015410	6.0
003792	025814	6.0
003422	001608	6.0
006716	025180	6.0
000180	003907	6.0
011974	011702	6.0
019475	011688	6.0
017207	030024	6.0
032198	014168	6.0
002071	017453	6.0
031997	039638	6.0
003442	003442	6.0
012720	025778	6.0
003449	003449	6.0
003462	003462	6.0
026431	016504	6.0
006052	021348	6.0
003489	022069	6.0
020273	038666	6.0
031572	004648	6.0
020346	023749	6.0
035112	035112	6.0
003660	033256	6.0
010246	014333	6.0
035533	000073	6.0
030797	026857	6.0
020953	016897	6.0
030529	012867	6.0
017379	017379	6.0
009795	013694	6.0
004087	023977	6.0
002912	033652	6.0
018411	037151	6.0
002534	020537	6.0
006391	008381	6.0
033891	016635	6.0
025086	006394	6.0
033959	036938	6.0
034162	038900	6.0
002829	031312	6.0
012406	012406	6.0
025717	035201	6.0
012453	021126	6.0
025843	022438	6.0
009793	018106	6.0
034695	025924	6.0
032958	028894	6.0
009076	006447	6.0
034993	033977	6.0
012101	032953	6.0
003255	003442	6.0
019378	011478	6.0
039104	007224	6.0
039104	000552	6.0
017508	035367	6.0
012640	004587	6.0
015858	007745	6.0
037997	024294	6.0
030153	002912	6.0
015652	007965	6.0
030099	001608	6.0
021411	012300	6.0
003442	018261	5.95
016088	016987	5.95
025814	001268	5.94444444444
016116	005248	5.9380952381
010013	003728	5.93333333333
021033	001364	5.91666666667
026192	026345	5.91666666667
028939	032810	5.91666666667
009169	035002	5.91666666667
034814	026182	5.89166666667
009208	019043	5.86025641026
021838	037821	5.84848484848
021838	033603	5.84848484848
021838	002940	5.84848484848
021838	015495	5.84848484848
021838	021223	5.84848484848
021838	032463	5.84848484848
023620	038337	5.84444444444
013525	030771	5.83333333333
024999	001364	5.83333333333
034120	028385	5.83333333333
010892	027246	5.83333333333
009865	008288	5.83333333333
019378	017305	5.83333333333
038564	022245	5.83333333333
018483	018483	5.83333333333
032281	034120	5.83333333333
030307	038530	5.83333333333
025024	037107	5.83333333333
035513	032386	5.83333333333
007083	007836	5.83333333333
016006	006536	5.83333333333
033760	034162	5.80952380952
002706	010413	5.78571428571
031411	021873	5.78055555556
026554	026554	5.75
010409	010409	5.75
016772	028379	5.75
027868	027868	5.75
008767	003878	5.75
015202	011735	5.75
026087	026825	5.75
007090	028608	5.75
013452	032810	5.725
012653	038929	5.71666666667
030265	022245	5.7
003456	034738	5.7
020617	032529	5.66666666667
013495	026293	5.66666666667
018527	013354	5.66666666667
028818	013138	5.66666666667
004720	016637	5.66666666667
024679	007461	5.66666666667
019378	033538	5.66666666667
021189	024613	5.66666666667
023811	034018	5.64682539683
013280	024264	5.61666666667
012653	014842	5.61666666667
037107	037996	5.61363636364
027692	001268	5.61111111111
022444	037107	5.58611111111
006799	006799	5.58333333333
024999	024999	5.58333333333
009660	009660	5.58333333333
024756	035325	5.57222222222
