DCP RECORD,Book ID .,Building Address,Building Name,Building Location,Year Completed,Community District,Block,Lot,,,,,,,,,,,,,,,,,,Public Space 1
557,077,1114 Sixth Avenue,Grace,Southeast corner of Sixth Avenue and West 43rd Streets,1971,5,1258,9,,,,,,,,,,,,,,,,,,Covered Pedestrian Space
555,078,1133 Sixth Avenue,,Full blockfront on west side of Sixth Avenue between West 43rd and 44th Streets,1969,5,996,29,,,,,,,,,,,,,,,,,,Urban Plaza
554,079,1155 Sixth Avenue,,Full blockfront on west side of Sixth Avenue between West 44th and 45th Streets,1983,5,997,29,,,,,,,,,,,,,,,,,,Special Permit Plaza
590,080,145 West 44th Street,Millennium Broadway,North side of West 44th Street between Sixth Avenue and Broadway,1990,5,997,10,,,,,,,,,,,,,,,,,,Courtyard
553,081,1515 Broadway,One Astor Place,Full blockfront on west side of Broadway between West 44th and 45th Streets,1971,5,1016,36,,,,,,,,,,,,,,,,,,Arcade
591,082,1535 Broadway,Marriott Marquis,West side of Broadway between West 45th and 46th Streets,1985,5,1017,29,,,,,,,,,,,,,,,,,,Plaza
5100,083,1548 Broadway,Bertelsmann,East side of Broadway between West 45th and West 46th Streets,1989,5,998,1001,1005,,,,,,,,,,,,,,,,,Plaza
5101,084,114 West 47th Street,United States Trust,South side of  West 47th Street between Sixth and Seventh Avenues,1989,5,999,19,,,,,,,,,,,,,,,,,,Plaza
548,085,1185 Sixth Avenue,Fleet Boston Financial Tower,Full blockfront on west side Sixth Avenue between  West 46th and 47th Streets,1970,5,999,29,,,,,,,,,,,,,,,,,,
547,086,1211 Sixth Avenue,1211 Avenue of the Americas,West side of Sixth Avenue between West 47th and 48th Streets,1973,5,1000,29,,,,,,,,,,,,,,,,,,Plaza
552,087,1166 Sixth Avenue,,East side of Sixth Avenue between West 45th and 46th Streets,1972,5,1261,15,,,60,61,112,160,1001-1045,,,,,,,,,,,Plaza
549,088,575 Fifth Avenue,,Southeast corner of East 47th Street and Fifth Avenue,1983,5,1282,64,,,,,,,,,,,,,,,,,,Plaza
587,089,383 Madison Avenue,Bear Stearns,Full block bounded by Madison and Vanderbilt Avenues and East 46th and 47th Streets,under construction,5,1282,21,,,,,,,,,,,,,,,,,,Landscaped Pedestrian Plaza
550,090,245 Park Avenue,,Full block bounded by Lexington and Park Avenues and East 46th and 47th Streets,1966,5,1301,1,,,,,,,,,,,,,,,,,,
546,091,299 Park Avenue,Westvaco,East side of Park Avenue between East 48th and 49th Streets,1967,5,1303,1,,,,,,,,,,,,,,,,,,Plaza
545,092,280 Park Avenue,,West side of Park Avenue between East 48th and 49th Streets,1968,5,1284,26,,,,,,,,,,,,,,,,,,Residential Plaza
541,093,437 Madison Avenue,,East side of Madison Avenue between East 49th and 50th Streets,1968,5,1285,21,,,,,,,,,,,,,,,,,,Through Block Plaza
595,094,12 East 49th Street,Tower 49,South side of East 49th Street between Madison and Fifth Avenues,1984,5,1284,6,,,13,,,,,,,,,,,,,,,Pedestrian Thoroughfare
578,095,611 Fifth Avenue,Saks Tower,East side of Fifth Avenue between East 49th and 50th Streets,1990,5,1285,1,,,,,,,,,,,,,,,,,,Sidewalk Widening
542,096,1251 Sixth Avenue,1251 Avenue of the Americas,West side of Sixth Avenue between West 49th and 50th Streets,1970,5,1002,29,,,,,,,,,,,,,,,,,,Plaza
543,097,1221 Sixth Avenue,McGraw-Hill,West side of Sixth Avenue between West 48th and 49th Streets,1971,5,1001,29,,,,,,,,,,,,,,,,,,Arcade
597,098,745 Seventh Avenue,,East side of Seventh Avenue between West 49th and 50th Streets,under construction,5,1002,1,,,8, part of 11,61,,,,,,,,,,,,,Plaza
581,099,235 West 48th Street,Ritz,North side of West 48th Street between Broadway and Eighth Avenue,1989,5,1020,5,,,,,,,,,,,,,,,,,,Plaza
538,100,1633 Broadway,Paramount Plaza,West side of Broadway between West 50th and 51st Streets,1971,5,1022,43,,,,,,,,,,,,,,,,,,Arcade
537,101,1285 Sixth Avenue,PaineWebber,Full block bounded by Sixth and Seventh Avenues and West 51st and 52nd Streets,1984,5,1004,20,,,,,,,,,,,,,,,,,,Special Permit Plaza
536,102,650 Fifth Avenue,,Southwest corner of West 52nd Street and Fifth Avenue,1977,5,1267,41,,,,,,,,,,,,,,,,,,Urban Plaza
535,103,645 Fifth Avenue,Olympic Tower,Northeast corner of East 51st Street and Fifth Avenue,1974,5,1287,1,,,71,,,,,,,,,,,,,,,
539,104,457 Madison Avenue,New York Palace Hotel,East side of Madison Avenue between East 50th and 51st Streets,1978,5,1286,30,,,,,,,,,,,,,,,,,,Public Lobby
589,105,40 East 52nd Street,,South side of East 52nd Street between Park and Madison Avenues,1986,5,1287,27,31,,143,,,,,,,,,,,,,,,Plaza
534,106,345 Park Avenue,,East side of Park Avenue between East 51st and 52nd Streets,1968,5,1306,1,,,,,,,,,,,,,,,,,,Plaza
540,107,560 Lexington Avenue,,Northwest corner of East 50th Street and Lexington Avenue,1981,5,1305,13,,,,,,,,,,,,,,,,,,Plaza
533,108,55 East 52nd Street,Park Avenue Plaza,North side of East 52nd Street between Park and Madison Avenues,1979,5,1288,27,,,,,,,,,,,,,,,,,,Covered Pedestrian Space
532,109,10 East 53rd Street,HarperCollins,South side of East 53rd Street between Madison and Fifth Avenues,1971,5,1288,7,,,,,,,,,,,,,,,,,,Covered Pedestrian Space
525,110,520 Madison Avenue,,West side of Madison Avenue between East 53rd and 54th Streets,1982,5,1289,8,,,58,56,107,,,,,,,,,,,,,Plaza
588,111,31 West 52nd Street,Deutsche Bank,North side of West 52nd Street between Fifth and Sixth Avenues,1985,5,1268,11,,,,,,,,,,,,,,,,,,Plaza
531,112,51 West 52nd Street,CBS,East Side of Sixth Avenue between West 52nd and 53rd Streets,1965,5,1268,1,,,,,,,,,,,,,,,,,,Special Permit Plaza
526,113,1330 Sixth Avenue,,East side of Sixth Avenue between West 53rd and 54th Streets,1965,5,1269,1,,,,,,,,,,,,,,,,,,Residential Plaza
5108,113A,11 West 53rd Street,Museum of Modern Art,Midblock between West 53rd and 54th Streets between Fifth and Sixth Avenues,2003,5,1269,11,,,14,20,58,165,,,,,,,,,,,,
530,114,1301 Sixth Avenue,,West side of Sixth Avenue between West 52nd and 53rd Streets,1964,5,1005,29,,,,,,,,,,,,,,,,,,Outdoor Public Space
575,115,135  West 52nd Street,Flatotel,North side of West 52nd Street between Sixth and Seventh Avenues,1985,5,1005,13,,,,,,,,,,,,,,,,,,Arcade
583,116,1325 Sixth Avenue,1325 Avenue of the Americas,North side of  West 53rd Street and south side of West 54th Street between Sixth and Seventh Avenues,1989,5,1006,13,,,,,,,,,,,,,,,,,,Plaza
527,117,825 Seventh Avenue,Tower 53,Northwest corner of West 53rd Street and Seventh Avenue,1967,5,1006,1001,1217,,,,,,,,,,,,,,,,,Plaza
529,118,810 Seventh Avenue,,Southwest corner of Seventh Avenue and West 53rd Street,1970,5,1024,38,,,,,,,,,,,,,,,,,,Plaza
528,119,1700 Broadway,,Full blockfront on east side of Broadway between West 53rd and 54th Streets,1968,5,1025,25,,,,,,,,,,,,,,,,,,Plaza
520,120,230 West 55th Street,La Premiere,Southwest corner of West 55th Street and Broadway,1979,5,1026,49,,,,,,,,,,,,,,,,,,Plaza
5102,121,151 West 54th Street,Rihga Royal Hotel,North side of West 54th Street between Sixth and Seventh Avenues,1990,5,1007,5,,,,,,,,,,,,,,,,,,Urban Plaza
574,122,156 West 56th Street,CitySpire,South side of West 56th Street between Sixth and Seventh Avenues,1987,5,1008,1101,1443,,,,,,,,,,,,,,,,,Arcade
5106,122A,125 West 55th Street,,North side of West 55th Street and south side of West 56th Street between Sixth and Seventh Avenues,1990,5,1008,19,,,,,,,,,,,,,,,,,,Urban Plaza
521,123,1345 Sixth Avenue,Alliance Capital,West side of Sixth Avenue between West 54th Street and 55th Street,1968,5,1007,29,,,,,,,,,,,,,,,,,,Through Block Arcade Equivalent
522,124,1350 Sixth Avenue,Men's Apparel,Southeast corner of West 55th Street and Sixth Avenue,1966,5,1270,71,,,,,,,,,,,,,,,,,,Arcade
519,125,1370 Sixth Avenue,Continental Tower,Southeast corner of West 56th Street and Sixth Avenue,1971,5,1271,6,,,,,,,,,,,,,,,,,,Plaza
576,126,712 Fifth Avenue,,West side of Fifth Avenue between West 55th and 56th Streets,1989,5,1271,30,,,,,,,,,,,,,,,,,,Arcade
518,127,550 Madison Avenue,Sony,West side of Madison Avenue between East 55th and 56th Streets,1983,5,1291,10,,,,,,,,,,,,,,,,,,Plaza
524,128,535 Madison Avenue,Warburg Dillon Read,Northeast corner of East 54th Street and Madison Avenue,1982,5,1290,1001,1037,,,,,,,,,,,,,,,,,Plaza
586,129,65 East 55th Street,Park Avenue Tower,North side of East 55th Street between Park and Madison Avenues,1985,5,1291,28,,,127,,,,,,,,,,,,,,,Plaza
516,130,450 Park Avenue,,Southwest corner of Park Avenue and East 57th Street,1971,5,1292,37,,,,,,,,,,,,,,,,,,Urban Plaza
515,131,590 Madison Avenue,,Southwest corner of East 57th Street and Madison Avenue,1982,5,1292,15,,,,,,,,,,,,,,,,,,Plaza
514,132,725 Fifth Avenue,Trump Tower,East side of Fifth Avenue between East 56th and 57th Streets,1983,5,1292,66,,,,,,,,,,,,,,,,,,Plaza
513,133,40 West 57th Street,,South side of West 57th Street between Fifth and Sixth Avenues,1972,5,1272,63,,,,,,,,,,,,,,,,,,Urban Plaza
512,134,118 West 57th Street,Le Parker Meridien Hotel,South side of West 57th Street between Sixth and Seventh Avenues,1979,5,1009,16,19; 9016,9019,,,,,,,,,,,,,,,,Plaza
585,135,146 West 57th Street,Metropolitan Tower,South side of West 57th Street between Sixth and Seventh Avenues,1986,5,1009,1001,1254,,50,,,,,,,,,,,,,,,Plaza
577,136,899 Seventh Avenue,Carnegie Hall Tower,North side of West 56th Street and south side of West 57th Street between Sixth and Seventh Avenues,1988,5,1009,1,,,,,,,,,,,,,,,,,,Urban Plaza
511,137,888 Seventh Avenue,,West side of Seventh Avenue between West 56th and 57th Streets,1970,5,1028,29,,,,,,,,,,,,,,,,,,
510,138,211 West 56th Street,Carnegie Mews,Northeast corner of West 56th Street and Broadway,1976,5,1028,17,,,,,,,,,,,,,,,,,,
584,139,1755 Broadway,Symphony House,Full blockfront on West 56th Street between Broadway and Eighth Avenues,1987,5,1028,1001,1003,,,,,,,,,,,,,,,,,Plaza
509,140,58 West 58th Street,,South side of West 58th Street between Fifth and Sixth Avenues,1968,5,1273,1001,1176,,,,,,,,,,,,,,,,,Urban Plaza
502,141,36 Central Park South,Park Lane Hotel,South side of Central Park South between Fifth and Sixth Avenues,1971,5,1274,11,,,,,,,,,,,,,,,,,,
508,142,9 West 57th Street,Solow,North side of West 57th Street between Fifth and Sixth Avenues,1972,5,1273,22,,,,,,,,,,,,,,,,,,Plaza
503,143,767 Fifth Avenue,General Motors Building at Trump International Plaza,East side of Fifth Avenue between East 58th and 59th Streets,1968,5,1294,1,,,,,,,,,,,,,,,,,,Special Permit Arcade
504,144,500 Park Avenue,500 Park Tower,Southwest corner of Park Avenue and East 59th Street,1984,5,1294,1001,1060,,,,,,,,,,,,,,,,,Plaza
507,145,115 East 57th Street,Galleria,North side of East 57th Street between Lexington and Park Avenues,1974,5,1312,8,,,1001-1252,,,,,,,,,,,,,,,Plaza
579,146,135 East 57th Street,,Northwest corner of East 57th Street and Lexington Avenue,1987,5,1312,9,,,115,116,,,,,,,,,,,,,,Plaza
506,147,110 East 59th Street,,South side of East 59th Street between Lexington and Park Avenues,1968,5,1313,5,,,,,,,,,,,,,,,,,,Urban Plaza
505,148,499 Park Avenue,,Southeast corner of Park Avenue and East 59th Street,1980,5,1313,4,,,,,,,,,,,,,,,,,,Arcade
