DCP RECORD,Book ID .,Building Address,Building Name,Building Location,Year Completed,Community District,Block,Lot,,,,,,,,,,,,,,,,,,Public Space 1
704,,424 West End Avenue,West River House,Southeast corner of West 81st Street and West End Avenue,,7,1228,61,,,,,,,,,,,,,,,,,,Residential Plaza
708,,15 West 72nd Street,Mayfair,North side of West 72nd Street between Columbus Avenue and Central Park West,1964,7,1125,24,,,,,,,,,,,,,,,,,,Residential Plaza
710,,45 West 67th Street,,Northeast corner of West 67th Street and Columbus Avenue,1983,7,1120,1101,1007,,,,,,,,,,,,,,,,,Public Park
718,,1865 Broadway,,Northwest corner of Broadway and West 61st Street,1966,7,1114,9,,,,,,,,,,,,,,,,,,
725,,161 West 61st Street,Alfred,Northeast corner of Amsterdam Avenue and West 61st Street (Alvin Ailey Place),1987,7,1132,30,,,,,,,,,,,,,,,,,,Plaza
728,,561-575 Amsterdam Avenue,,,,7,1218,1,,,,,,,,,,,,,,,,,,Open Space
807,,1230 Third Avenue,Tower East,West side of Third Avenue between East 71st and 72nd Streets,1962,8,1406,41,,,,,,,,,,,,,,,,,,Residential Plaza
817,,200 East 72nd Street,,East 72nd Street and Third Avenue,1979,8,1426,44,,,,,,,,,,,,,,,,,,Residential Plaza
818,,203 East 72nd Street,Bayard House,Southeast corner of Third Avenue and East 73rd Street,1966,8,1427,1,,,,,,,,,,,,,,,,,,
820,,340 East 64th Street,Saint Tropez,West side of First Avenue between East 63rd and 64th Streets,1965,8,1438,201,3504,,,,,,,,,,,,,,,,,Residential Plaza
824,,52-54 East End Avenue,,Southwest Corner of East End Avenue and East 82nd Street,,8,1578,1001,1083,,,,,,,,,,,,,,,,,
826,,425 East 61st Street,Otic Professional,North side of East 61st Street between York and First Avenues,1973,8,1456,17,,,,,,,,,,,,,,,,,,
828,,435 East 70th Street,,West side of York Avenue between East 70th and 71st Streets,1967,8,1465,21,,,,,,,,,,,,,,,,,,
863,,445 East 80th Street,,Northwest corner of York Avenue and East 80th Street,1966,8,1560,21,,,,,,,,,,,,,,,,,,Arcade
865,,338-352 East 82nd Street,,,,8,1544,30,,,,,,,,,,,,,,,,,,Residential Plaza
867,,1646 First Avenue,,East side of First Avenue between East 85th and 86th Streets,1968,8,1565,1,,,,,,,,,,,,,,,,,,Residential Plaza
874,,108 East 96th Street,,South side of East 96th Street between Park and Lexington Avenues,,8,1524,65,,,,,,,,,,,,,,,,,,Residential Plaza
881,,400 East 79th Street,Hampton House,Southeast corner of First Avenue and East 79th Street,1986,8,1473,1,,,5,46,47,,,,,,,,,,,,,Plaza
883,,206 East 94th Street,Carnegie Park Apartments,North side of East 94th Street between Second and Third Avenues,1986,8,1539,1,,,,,,,,,,,,,,,,,,Plaza
890,,1601 Third Avenue,Ruppert Tower,East side of Third Avenue between East 90th and 91st Streets,1974,8,1536,1,,,,,,,,,,,,,,,,,,Commons and Public Areas
891,,330 East 80th Street,,South side of East 80th Street between First and Second Avenues,1961,8,1542,19,,,,,,,,,,,,,,,,,,
892,,1540 York Avenue,York Hill,East side of York Avenue between East 80th and 81st Streets,1963,8,1578,1,,,,,,,,,,,,,,,,,,Commercial Park-Like Open Space
B204,,1 Pierrepont Plaza,Morgan Stanley,,,B2,239,1,,,,,,,,,,,,,,,,,,Plaza
B206,,111 Livingston Street,,Northwest corner of Livingston Street and Boerem Place,1969,B2,266,1,,,,,,,,,,,,,,,,,,Landscaped Public Open Space
